frame,time_s,x,y,z,yaw_deg,speed_kmh,lane_shift,nearest_dist,ref_index,ref_x,ref_y,steer,throttle,brake
290729,4.399234052747488,528.2813720703125,138.0939178466797,-0.008896121755242348,0.2345965951681137,0.9453165991539239,-3.927397693814791e-05,0.0015875741612766123,1,528.282958984375,138.09396362304688,9.513774784863926e-06,0.75,0.0
290730,4.449234053492546,528.2889404296875,138.09397888183594,0.00022439955500885844,0.2344849705696106,0.7692672409008946,-8.006423882989197e-06,0.0017700853006705987,2,528.2907104492188,138.093994140625,4.0859405999071896e-05,0.75,0.0
290731,4.499234054237604,528.296142578125,138.09402465820312,0.006743297446519136,0.23444440960884094,0.6510535543554692,7.002159804869653e-06,0.001708984375,3,528.2978515625,138.09402465820312,-0.00010011954873334616,0.75,0.0
290732,4.549234054982662,528.3029174804688,138.0940704345703,0.010778103023767471,0.23445267975330353,0.5201707335700446,2.301105203628131e-05,0.0018921513701249046,4,528.3048095703125,138.09405517578125,-5.005180719308555e-05,0.75,0.0
290733,4.59923405572772,528.309814453125,138.0941162109375,0.012644671835005283,0.23341815173625946,0.5220479402194743,4.0520407083022177e-05,0.0024415969774132826,5,528.312255859375,138.09408569335938,-5.7703200582182035e-05,0.75,0.0
290734,4.649234056472778,528.316650390625,138.0941619873047,0.012804736383259296,0.23421479761600494,0.48456704072374185,5.828775033478473e-05,0.00439519347393467,5,528.312255859375,138.09408569335938,-6.750049215042964e-05,0.75,0.0
290735,4.699234057217836,528.3251342773438,138.09426879882812,0.011700725182890892,0.21662697196006775,0.9187732324501512,0.00013807422328682134,0.00390815688319876,6,528.3290405273438,138.09414672851562,-7.33429187675938e-05,0.75,0.0
290736,4.749234057962894,528.3472290039062,138.09423828125,0.009531955234706402,0.22340676188468933,1.985638789755645,1.9498105530146273e-05,0.012207069396913052,7,528.3594360351562,138.09426879882812,-0.0003004444297403097,0.75,0.0
290737,4.7992340587079525,528.3754272460938,138.09434509277344,0.007063236087560654,0.21921466290950775,1.9876468446909628,1.0773094516026367e-05,0.015991392935379677,7,528.3594360351562,138.09426879882812,0.0003881738812197,0.75,0.0
290738,4.849234059453011,528.4047241210938,138.09446716308594,0.004731921944767237,0.21369308233261108,2.3321229498955325,9.510842232885145e-06,0.0051270439503208745,8,528.3995971679688,138.0944366455078,2.494736145308707e-05,0.75,0.0
290739,4.899234060198069,528.4442749023438,138.09449768066406,0.002517337678000331,0.22220727801322937,2.8830617137780212,-0.00012807904892042676,0.005983391270073654,9,528.4502563476562,138.0946502685547,2.063807755803282e-07,0.75,0.0
290740,4.949234060943127,528.4847412109375,138.09461975097656,0.0008424186380580068,0.22770409286022186,2.9624429467223266,-0.0001631096256176087,0.016053877772959847,10,528.5007934570312,138.0948486328125,0.00048822807730175555,0.75,0.0
290741,4.999234061688185,528.530029296875,138.0948486328125,-0.0004113578761462122,0.21471261978149414,3.802198131784287,-0.00013159990649569525,0.02374377897783707,11,528.5537719726562,138.09507751464844,0.00015702460950706154,0.75,0.0
